x,y,n
-20.61,-14.699,1
-6.4638,-21.671,2
19.514,-10.186,3
14.482,-8.6955,4
-7.9363,-12.93,5
-22.041,-16.477,6
-23.572,-13.482,7
19.478,-10.492,8
14.662,-8.6631,9
-7.8053,-12.964,10
19.509,-10.306,11
14.612,-8.676,12
-21.616,-24.647,13
-24.591,-25.523,14
-23.588,-13.489,15
18.57,-12.32,16
16.13,-8.7554,17
12.433,-8.9663,18
-10.183,-13.01,19
-18.796,-14.108,20
-21.129,-17.584,21
19.51,-10.275,22
14.49,-8.6952,23
13.351,-8.721,24
22.419,1.8682,25
16.299,7.6891,26
4.9536,-16.954,27
-1.3209,-16.118,28
-21.137,-14.007,29
22.416,1.8418,30
21.284,6.0245,31
7.1298,-15.47,32
22.417,1.844,33
21.295,6.0031,34
7.1935,-15.441,35
24.171,9.7267,36
26.02,1.7459,37
17.305,5.3886,38
26.957,11.505,39
25.731,1.3306,40
